dataset_version,model_name,imbalance_method,best_params,cv_best_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
standard_scaled,decision_tree,none,"{""model__criterion"": ""entropy"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5}",0.6116926973406501,0.8278301886792453,0.3333333333333333,0.13178294573643412,0.18888888888888888,0.5992927299975201
robust_scaled,knn,none,"{""model__n_neighbors"": 7, ""model__p"": 2, ""model__weights"": ""distance""}",0.6365555086534403,0.8408018867924528,0.39285714285714285,0.08527131782945736,0.14012738853503184,0.600963871009477
standard_scaled,knn,none,"{""model__n_neighbors"": 7, ""model__p"": 2, ""model__weights"": ""distance""}",0.6365369354157873,0.8384433962264151,0.35714285714285715,0.07751937984496124,0.12738853503184713,0.6273139912238144
standard_scaled,svm,none,"{""model__C"": 5, ""model__gamma"": ""auto"", ""model__kernel"": ""rbf""}",0.6054639088222877,0.847877358490566,0.5,0.05426356589147287,0.0979020979020979,0.5482528490258866
unscaled,knn,none,"{""model__n_neighbors"": 7, ""model__p"": 2, ""model__weights"": ""distance""}",0.5987184466019417,0.8443396226415094,0.4117647058823529,0.05426356589147287,0.0958904109589041,0.5413310907699108
unscaled,logistic_regression,none,"{""model__C"": 10, ""model__penalty"": ""l1""}",0.7218607007176023,0.8466981132075472,0.45454545454545453,0.03875968992248062,0.07142857142857142,0.6871084947871182
standard_scaled,logistic_regression,none,"{""model__C"": 10, ""model__penalty"": ""l1""}",0.7220363022372309,0.8466981132075472,0.45454545454545453,0.03875968992248062,0.07142857142857142,0.6871084947871182
robust_scaled,logistic_regression,none,"{""model__C"": 10, ""model__penalty"": ""l1""}",0.7220092866188266,0.8466981132075472,0.45454545454545453,0.03875968992248062,0.07142857142857142,0.6871408394518658
unscaled,random_forest,none,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6977391304347825,0.8490566037735849,0.5714285714285714,0.031007751937984496,0.058823529411764705,0.663259695313258
standard_scaled,random_forest,none,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6977695230054876,0.8490566037735849,0.5714285714285714,0.031007751937984496,0.058823529411764705,0.6644564479089174
robust_scaled,random_forest,none,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6975702828197552,0.8490566037735849,0.5714285714285714,0.031007751937984496,0.058823529411764705,0.6634537633017434
unscaled,svm,none,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7049151540734488,0.8490566037735849,0.6666666666666666,0.015503875968992248,0.030303030303030304,0.681944129982426
robust_scaled,svm,none,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.6717973828619671,0.847877358490566,0.0,0.0,0.0,0.6697609729275156
